ann_id,orientation,n_painted,n_found,tape_verdict,injected_verdict,gt_swapped,n_marker_scored,n_unassigned,n_ambiguous,n_gross_miss
193457,OBLIQUE,1,1,CORRECT,SWAPPED,0,1,0,0,0
193774,REAR,2,2,CORRECT,SWAPPED,0,2,0,0,0
193826,REAR,3,3,CORRECT,SWAPPED,0,2,0,0,1
193845,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
193940,OBLIQUE,2,2,CORRECT,SWAPPED,0,2,0,0,0
194035,REAR,3,3,CORRECT,SWAPPED,0,3,0,0,0
194096,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
194291,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
194525,FRONT,2,2,NO_SIGNAL,NO_SIGNAL,0,0,0,2,0
195510,OBLIQUE,2,2,CORRECT,SWAPPED,0,1,0,1,0
195915,REAR,2,2,NO_SIGNAL,NO_SIGNAL,1,0,0,2,0
196121,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
196144,OBLIQUE,4,4,CORRECT,SWAPPED,0,2,0,2,0
196172,FRONT,3,3,CORRECT,SWAPPED,0,2,0,1,0
196520,OBLIQUE,3,3,CORRECT,SWAPPED,0,2,0,1,0
196583,FRONT,4,4,CORRECT,SWAPPED,0,3,0,1,0
197055,FRONT,1,1,CORRECT,SWAPPED,0,1,0,0,0
197203,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
197249,PROFILE,3,3,CORRECT,SWAPPED,0,2,0,0,1
197377,FRONT,1,2,NO_SIGNAL,NO_SIGNAL,0,0,0,1,1
197380,OBLIQUE,4,4,CORRECT,SWAPPED,0,4,0,0,0
197529,REAR,2,2,CORRECT,SWAPPED,0,2,0,0,0
197843,REAR,3,3,CORRECT,SWAPPED,0,1,0,2,0
198115,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
198284,FRONT,3,3,CORRECT,SWAPPED,0,2,0,1,0
198467,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
198826,OBLIQUE,4,3,NO_SIGNAL,NO_SIGNAL,0,0,0,3,0
198910,PROFILE,2,2,NO_SIGNAL,NO_SIGNAL,0,0,0,0,2
199266,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
199269,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
199770,REAR,4,4,CORRECT,SWAPPED,0,2,0,2,0
199991,PROFILE,2,2,CORRECT,SWAPPED,0,1,0,1,0
200090,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
200190,REAR,2,2,CORRECT,SWAPPED,0,2,0,0,0
200681,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
200685,OBLIQUE,4,4,CORRECT,SWAPPED,0,4,0,0,0
200887,OBLIQUE,2,2,CORRECT,SWAPPED,0,2,0,0,0
200893,FRONT,1,1,CORRECT,SWAPPED,0,1,0,0,0
200956,OBLIQUE,4,4,CORRECT,SWAPPED,0,3,0,0,1
200974,OBLIQUE,3,3,NO_SIGNAL,NO_SIGNAL,0,0,0,3,0
201291,FRONT,4,4,CORRECT,SWAPPED,0,2,0,2,0
201332,FRONT,2,2,CORRECT,SWAPPED,0,1,0,0,1
201376,OBLIQUE,4,4,CORRECT,SWAPPED,0,4,0,0,0
201384,OBLIQUE,3,3,CORRECT,SWAPPED,0,3,0,0,0
201643,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
201781,REAR,2,2,CORRECT,SWAPPED,0,1,0,0,1
202280,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
202348,REAR,2,2,CORRECT,SWAPPED,0,2,0,0,0
202402,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
202487,FRONT,2,3,NO_SIGNAL,NO_SIGNAL,0,0,0,0,3
202891,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
203512,REAR,1,1,CORRECT,SWAPPED,0,1,0,0,0
203611,OBLIQUE,3,3,CORRECT,SWAPPED,0,3,0,0,0
203803,FRONT,1,1,CORRECT,SWAPPED,0,1,0,0,0
204017,PROFILE,3,3,CORRECT,SWAPPED,0,2,0,1,0
204112,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
204595,REAR,3,3,CORRECT,SWAPPED,0,3,0,0,0
205158,FRONT,4,4,CORRECT,SWAPPED,0,2,0,2,0
205190,OBLIQUE,3,3,CORRECT,SWAPPED,0,3,0,0,0
205732,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
205810,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
206166,REAR,3,3,CORRECT,SWAPPED,0,3,0,0,0
206500,OBLIQUE,3,3,CORRECT,SWAPPED,0,2,0,1,0
206924,OBLIQUE,4,4,NO_SIGNAL,NO_SIGNAL,0,0,0,4,0
206977,REAR,3,3,CORRECT,SWAPPED,0,3,0,0,0
207159,REAR,1,1,CORRECT,SWAPPED,0,1,0,0,0
207593,FRONT,2,2,CORRECT,SWAPPED,0,1,0,1,0
207834,OBLIQUE,2,2,CORRECT,SWAPPED,0,2,0,0,0
207870,PROFILE,4,4,CORRECT,SWAPPED,0,3,0,0,1
208157,PROFILE,4,4,CORRECT,SWAPPED,0,2,0,2,0
208171,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
209074,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
209358,REAR,2,2,CORRECT,SWAPPED,0,2,0,0,0
209436,REAR,1,1,CORRECT,SWAPPED,0,1,0,0,0
209965,FRONT,4,4,CORRECT,SWAPPED,0,2,0,2,0
210123,OBLIQUE,4,4,CORRECT,SWAPPED,0,2,0,2,0
210217,OBLIQUE,4,4,CORRECT,SWAPPED,0,4,0,0,0
210248,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
210511,OBLIQUE,2,2,NO_SIGNAL,NO_SIGNAL,0,0,0,2,0
210782,REAR,1,1,CORRECT,SWAPPED,0,1,0,0,0
210852,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
211337,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
212027,REAR,1,1,CORRECT,SWAPPED,0,1,0,0,0
212196,FRONT,1,1,CORRECT,SWAPPED,0,1,0,0,0
212652,PROFILE,4,4,CORRECT,SWAPPED,0,4,0,0,0
212801,PROFILE,4,4,CORRECT,SWAPPED,0,4,0,0,0
212964,OBLIQUE,4,4,CORRECT,SWAPPED,0,2,0,2,0
213111,REAR,4,4,CORRECT,SWAPPED,0,4,0,0,0
213169,OBLIQUE,3,3,CORRECT,SWAPPED,0,3,0,0,0
213188,REAR,2,2,CORRECT,SWAPPED,0,2,0,0,0
213600,REAR,1,1,CORRECT,SWAPPED,0,1,0,0,0
213949,REAR,2,3,NO_SIGNAL,NO_SIGNAL,0,0,0,1,2
214122,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
214252,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
214254,FRONT,1,1,NO_SIGNAL,NO_SIGNAL,0,0,0,1,0
214333,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
214463,OBLIQUE,2,2,CORRECT,SWAPPED,0,1,0,0,1
214561,PROFILE,4,4,CORRECT,SWAPPED,0,4,0,0,0
214750,OBLIQUE,3,3,CORRECT,SWAPPED,0,3,0,0,0
215168,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
215456,OBLIQUE,1,1,CORRECT,SWAPPED,0,1,0,0,0
215557,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
216341,FRONT,3,3,CORRECT,SWAPPED,0,2,0,1,0
216406,OBLIQUE,3,3,CORRECT,SWAPPED,0,3,0,0,0
216588,PROFILE,4,4,CORRECT,SWAPPED,0,4,0,0,0
216643,OBLIQUE,2,2,CORRECT,SWAPPED,0,2,0,0,0
217097,PROFILE,3,3,CORRECT,SWAPPED,0,3,0,0,0
217289,OBLIQUE,2,2,NO_SIGNAL,NO_SIGNAL,0,0,0,0,2
217633,REAR,3,3,CORRECT,SWAPPED,0,3,0,0,0
217758,REAR,3,3,CORRECT,SWAPPED,0,1,0,2,0
217773,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
217888,REAR,1,1,CORRECT,SWAPPED,0,1,0,0,0
218627,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
219454,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
220590,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
220687,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
220854,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
220963,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
221034,FRONT,2,2,CORRECT,SWAPPED,0,1,0,1,0
221149,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
221622,REAR,2,2,CORRECT,SWAPPED,0,2,0,0,0
221624,FRONT,3,3,CORRECT,SWAPPED,0,2,0,1,0
221883,REAR,2,2,CORRECT,SWAPPED,0,2,0,0,0
222088,OBLIQUE,3,3,CORRECT,SWAPPED,0,2,0,1,0
222384,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
222423,OBLIQUE,4,4,CORRECT,SWAPPED,0,2,0,2,0
222432,FRONT,3,3,NO_SIGNAL,NO_SIGNAL,0,0,0,3,0
222605,FRONT,1,1,CORRECT,SWAPPED,0,1,0,0,0
222688,REAR,2,2,CORRECT,SWAPPED,0,1,0,0,1
223042,OBLIQUE,3,3,NO_SIGNAL,NO_SIGNAL,0,0,0,3,0
223326,REAR,1,1,CORRECT,SWAPPED,0,1,0,0,0
223891,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
224536,REAR,4,4,CORRECT,SWAPPED,0,4,0,0,0
225264,OBLIQUE,3,3,CORRECT,SWAPPED,0,1,0,1,1
225403,FRONT,2,2,NO_SIGNAL,NO_SIGNAL,0,0,0,1,1
225442,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
225494,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
226563,PROFILE,3,3,CORRECT,SWAPPED,0,3,0,0,0
227386,OBLIQUE,4,4,CORRECT,SWAPPED,0,4,0,0,0
227893,OBLIQUE,2,2,CORRECT,SWAPPED,0,2,0,0,0
228234,PROFILE,3,3,INCONSISTENT,INCONSISTENT,0,3,0,0,0
228672,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
228795,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
229044,OBLIQUE,1,1,NO_SIGNAL,NO_SIGNAL,0,0,0,0,1
229143,REAR,2,2,CORRECT,SWAPPED,0,2,0,0,0
230134,REAR,1,1,CORRECT,SWAPPED,0,1,0,0,0
230515,OBLIQUE,1,1,NO_SIGNAL,NO_SIGNAL,0,0,0,0,1
230831,PROFILE,4,4,CORRECT,SWAPPED,0,1,0,3,0
231268,OBLIQUE,2,2,NO_SIGNAL,NO_SIGNAL,0,0,0,2,0
232029,OBLIQUE,2,2,CORRECT,SWAPPED,0,2,0,0,0
232610,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
232781,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
233668,REAR,4,4,CORRECT,SWAPPED,0,4,0,0,0
233745,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
233799,PROFILE,2,2,NO_SIGNAL,NO_SIGNAL,0,0,0,2,0
233900,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
234292,REAR,2,2,CORRECT,SWAPPED,0,2,0,0,0
234594,FRONT,1,1,CORRECT,SWAPPED,0,1,0,0,0
234614,REAR,1,1,CORRECT,SWAPPED,0,1,0,0,0
234974,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
235455,FRONT,3,3,CORRECT,SWAPPED,0,1,0,2,0
235484,OBLIQUE,2,2,INCONSISTENT,INCONSISTENT,0,2,0,0,0
235660,OBLIQUE,3,3,CORRECT,SWAPPED,0,3,0,0,0
236110,OBLIQUE,3,2,CORRECT,SWAPPED,0,1,0,1,0
236416,OBLIQUE,3,2,NO_SIGNAL,NO_SIGNAL,0,0,0,2,0
236632,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
236688,REAR,1,1,CORRECT,SWAPPED,0,1,0,0,0
236746,REAR,1,1,CORRECT,SWAPPED,0,1,0,0,0
236826,OBLIQUE,3,3,CORRECT,SWAPPED,0,3,0,0,0
236973,REAR,2,2,CORRECT,SWAPPED,0,1,0,1,0
237126,REAR,1,1,CORRECT,SWAPPED,0,1,0,0,0
237158,OBLIQUE,3,3,CORRECT,SWAPPED,0,3,0,0,0
237693,OBLIQUE,1,1,NO_SIGNAL,NO_SIGNAL,0,0,0,0,1
237810,REAR,2,2,CORRECT,SWAPPED,0,2,0,0,0
251324,FRONT,1,1,CORRECT,SWAPPED,0,1,0,0,0
251616,FRONT,4,4,CORRECT,SWAPPED,0,3,0,0,1
253389,OBLIQUE,4,4,CORRECT,SWAPPED,0,4,0,0,0
253777,FRONT,1,1,CORRECT,SWAPPED,0,1,0,0,0
253873,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
255092,REAR,2,2,CORRECT,SWAPPED,0,2,0,0,0
255250,PROFILE,4,4,CORRECT,SWAPPED,0,2,0,2,0
258087,FRONT,2,2,NO_SIGNAL,NO_SIGNAL,0,0,0,1,1
258665,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
260561,REAR,1,1,NO_SIGNAL,NO_SIGNAL,0,0,0,0,1
261088,REAR,1,1,NO_SIGNAL,NO_SIGNAL,0,0,0,0,1
261551,FRONT,2,2,CORRECT,SWAPPED,0,1,0,0,1
261724,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
262029,REAR,2,2,CORRECT,SWAPPED,0,1,0,1,0
262841,PROFILE,2,2,CORRECT,SWAPPED,0,2,0,0,0
265849,PROFILE,4,4,CORRECT,SWAPPED,0,3,0,1,0
266380,FRONT,4,3,CORRECT,SWAPPED,0,1,0,2,0
421203,OBLIQUE,4,4,CORRECT,SWAPPED,0,4,0,0,0
421435,OBLIQUE,3,3,CORRECT,SWAPPED,0,1,0,1,1
421452,FRONT,3,2,NO_SIGNAL,NO_SIGNAL,0,0,0,0,2
421541,REAR,4,4,CORRECT,SWAPPED,0,4,0,0,0
421551,OBLIQUE,2,2,CORRECT,SWAPPED,0,2,0,0,0
421607,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
421636,PROFILE,3,3,CORRECT,SWAPPED,0,3,0,0,0
421689,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
421757,OBLIQUE,4,4,CORRECT,SWAPPED,0,2,0,1,1
421907,OBLIQUE,4,4,CORRECT,SWAPPED,0,2,0,2,0
421918,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
422061,FRONT,1,1,CORRECT,SWAPPED,0,1,0,0,0
422167,OBLIQUE,3,3,CORRECT,SWAPPED,0,2,0,1,0
422313,PROFILE,4,4,CORRECT,SWAPPED,0,3,0,0,1
422400,FRONT,2,2,CORRECT,SWAPPED,0,1,0,1,0
422442,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
422535,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
422900,FRONT,4,4,CORRECT,SWAPPED,0,2,0,0,2
423037,REAR,4,4,CORRECT,SWAPPED,0,4,0,0,0
423255,FRONT,4,4,NO_SIGNAL,NO_SIGNAL,0,0,0,0,4
423295,OBLIQUE,4,4,CORRECT,SWAPPED,0,4,0,0,0
423444,PROFILE,4,4,CORRECT,SWAPPED,0,4,0,0,0
423477,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
423513,REAR,3,3,CORRECT,SWAPPED,0,3,0,0,0
423534,FRONT,2,2,CORRECT,SWAPPED,0,1,0,0,1
423685,FRONT,1,1,NO_SIGNAL,NO_SIGNAL,0,0,0,1,0
424068,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
424092,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
424293,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
424416,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
424655,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
424714,FRONT,3,3,CORRECT,SWAPPED,0,2,0,0,1
424746,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
424821,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
424921,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
424939,REAR,4,4,CORRECT,SWAPPED,0,2,0,2,0
424966,FRONT,3,3,CORRECT,SWAPPED,0,2,0,0,1
425124,FRONT,4,4,CORRECT,SWAPPED,0,3,0,1,0
425188,PROFILE,4,4,CORRECT,SWAPPED,0,3,0,1,0
425291,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
425326,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
425362,PROFILE,2,2,CORRECT,SWAPPED,0,1,0,0,1
425370,FRONT,3,3,CORRECT,SWAPPED,0,1,0,2,0
425488,FRONT,4,4,INCONSISTENT,INCONSISTENT,0,4,0,0,0
425686,FRONT,2,3,CORRECT,SWAPPED,0,1,0,0,2
425691,FRONT,4,4,CORRECT,SWAPPED,0,3,0,1,0
425720,FRONT,4,4,INCONSISTENT,INCONSISTENT,0,4,0,0,0
425818,REAR,4,4,CORRECT,SWAPPED,0,4,0,0,0
425988,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
426225,OBLIQUE,3,3,CORRECT,SWAPPED,0,3,0,0,0
426279,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
426491,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
426612,REAR,3,3,CORRECT,SWAPPED,0,3,0,0,0
426907,REAR,4,4,INCONSISTENT,INCONSISTENT,0,4,0,0,0
426985,REAR,4,4,CORRECT,SWAPPED,0,4,0,0,0
427080,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
427270,OBLIQUE,4,4,CORRECT,SWAPPED,0,4,0,0,0
427342,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
427370,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
427431,REAR,3,3,CORRECT,SWAPPED,0,2,0,1,0
427472,REAR,2,2,CORRECT,SWAPPED,0,2,0,0,0
427977,FRONT,4,4,CORRECT,SWAPPED,0,3,0,1,0
428121,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
428181,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
428327,PROFILE,3,3,CORRECT,SWAPPED,0,3,0,0,0
428339,FRONT,2,2,CORRECT,SWAPPED,0,1,0,0,1
428410,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
428508,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
428523,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
428597,FRONT,4,4,CORRECT,SWAPPED,0,3,0,1,0
428692,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
428705,OBLIQUE,2,2,CORRECT,SWAPPED,0,2,0,0,0
428916,OBLIQUE,4,4,CORRECT,SWAPPED,0,4,0,0,0
429137,FRONT,2,2,CORRECT,SWAPPED,0,1,0,0,1
429154,FRONT,4,4,CORRECT,SWAPPED,0,1,0,0,3
429200,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
429411,REAR,2,2,CORRECT,SWAPPED,0,2,0,0,0
429662,OBLIQUE,2,2,CORRECT,SWAPPED,0,1,0,1,0
429678,OBLIQUE,2,2,NO_SIGNAL,NO_SIGNAL,0,0,0,2,0
429749,REAR,2,2,CORRECT,SWAPPED,0,2,0,0,0
429874,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
429906,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
430057,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
430106,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
430174,OBLIQUE,2,2,CORRECT,SWAPPED,0,2,0,0,0
430181,FRONT,3,3,CORRECT,SWAPPED,0,1,0,0,2
430355,OBLIQUE,4,4,CORRECT,SWAPPED,0,4,0,0,0
430413,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
430570,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
430662,FRONT,4,4,CORRECT,SWAPPED,0,3,0,0,1
430925,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
430983,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
430991,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
431070,OBLIQUE,4,3,CORRECT,SWAPPED,0,2,0,1,0
431114,REAR,3,3,CORRECT,SWAPPED,0,1,0,0,2
431384,FRONT,4,4,NO_SIGNAL,NO_SIGNAL,0,0,0,4,0
431398,FRONT,4,4,CORRECT,SWAPPED,0,3,0,0,1
431400,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
431511,OBLIQUE,4,4,CORRECT,SWAPPED,0,2,0,2,0
431516,REAR,1,1,CORRECT,SWAPPED,0,1,0,0,0
431627,PROFILE,2,2,NO_SIGNAL,NO_SIGNAL,0,0,0,1,1
431640,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
431674,OBLIQUE,4,4,CORRECT,SWAPPED,0,2,0,2,0
431922,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
431990,FRONT,1,1,CORRECT,SWAPPED,0,1,0,0,0
431999,FRONT,4,4,CORRECT,SWAPPED,0,3,0,0,1
432019,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
432097,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
432135,REAR,3,3,CORRECT,SWAPPED,0,2,0,1,0
432223,PROFILE,4,4,CORRECT,SWAPPED,0,4,0,0,0
432364,PROFILE,4,4,CORRECT,SWAPPED,0,4,0,0,0
433085,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
433108,FRONT,3,2,CORRECT,SWAPPED,0,2,0,0,0
433265,REAR,1,1,NO_SIGNAL,NO_SIGNAL,0,0,0,1,0
433470,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
433532,OBLIQUE,2,2,CORRECT,SWAPPED,0,2,0,0,0
433733,REAR,4,4,CORRECT,SWAPPED,0,4,0,0,0
433998,FRONT,2,2,CORRECT,SWAPPED,0,2,0,0,0
434191,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
434274,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
434302,OBLIQUE,1,1,CORRECT,SWAPPED,0,1,0,0,0
434471,REAR,3,3,CORRECT,SWAPPED,0,3,0,0,0
434478,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
434569,OBLIQUE,4,3,CORRECT,SWAPPED,0,1,0,1,1
434696,FRONT,4,4,CORRECT,SWAPPED,0,3,0,1,0
434786,OBLIQUE,4,4,CORRECT,SWAPPED,0,4,0,0,0
435069,OBLIQUE,3,3,CORRECT,SWAPPED,0,3,0,0,0
435114,FRONT,3,3,CORRECT,SWAPPED,0,3,0,0,0
435143,FRONT,4,4,CORRECT,SWAPPED,0,4,0,0,0
